Valoracion,Comentario
0,no me ha gustado esta crema no absorbe nada bien y me paso el dia con la cara con restos de crema el aroma demasiado fuerte para mi gusto pero eso ya depende de cada uno
0,la caja viene sin retractilar con muchos desperfectos al abrirla no trae las tipicas protecciones de carton de las cremas no parece un producto loreal parece manipulado una falsificacion lo abres y no tiene la presentacion habitual de las cremas que he comprado antes la pena es que no se puede devolver
0,no vuelvo a comprarlo viene sin precintola caja abierta deformada sin celofanla habia comprado anteriormente y bien pero esta vez muy mal
1,la relacion calidad  precio es muy buena otros productos similares cuestan el triple  el envio se ha hecho de acuerdo con las previsiones
1,muy bien
1,todas mis arrugas desaparecieron excelente producto
1,buenos resultados a un precio moderado
1,me ha parecido buen producto
1,las cremas son para mi madre busca algo economico para diario y estas le van perfectas quizas a precio de super no las compraria pero a precio de amazon si me han costado 20 euros entre las dos dia y noche
1,no tiene factor de proteccion solar y aunque no soy mucho de cremas diarias esta me ha gustado mucho su textura absorcion y deja la piel super suave
1,buena crema
1,textura ligera y agradable se absorbe muy bien
1,me encantan estos productos de l oreal ya hace bastante tiempo que los utilizo y el efecto es una piel suave y sin grasahe probado otras marcas y sin lugar a dudas esta para mi es la que mejor me funcionaademas los precios son bastante asequiblesdesde luego que los recomiendo
1,buena relacion calidad precio recomendable
1,buena crema
1,yo un hombre y aunque tenemos la piel mas gruesa esta crema funciona de maravilla atenuacion de arrugas y luminosidad la recomiendo
1,muy buena crema  y muybuena relacion precio
1,allegado muy bien
1,buena calidad
1,buen producto buen precio
0,lo acabo de recibir la caja no viene precitanda no me da confianza parece manipulado no comprar
1,la verdad que me gusto mucho esta crema si la recomiendo
1,la probe hace unos meses y sigo con ella normal no deja la piel grasa
0,demasiado densa y grasa la usare para el cuello no para la cara porq no es para caras grasas
1,buena sensacion nada graseinta piel muy suave
1,esta marca no decepciona
1,mi madre habia probado muchas cremas y definitivamente se queda con esta marca le encanta la sensacion que le deja en la piel me atreveria a decir que tiene alguna arruguita menos o sera por la luminosidad que le da a la cara pero a mi me parece un acierto
1,todo bien
1,me gusta mas la que viene con el serum incorporado pero esta tambien esta bien deja la piel hidratada y algo si disimula las arrugas
1,bueno
1,todos los anos caen una crema de regalo de este tipo para mis tias y todas me dicen que les va fenomenal asi que una forma de acertar sin comerte la cabeza crema buena y de calidad a precio genial
1,llevo utilizando productos loreal hace muchos anos y los resultados en el tiempo son buenos satisfecho como siempre
1,es buena se nota los resurtado rapidamente estoy comtenta de averla compradovolvere a repetir seguire usandola por mas tiempo para ver mas resurtado
1,la crema me gustapero ha venido el bote bastante vacio como si estuviera empezada muy disgustada la verdad
1,considero que me esta dando un buen resultado lo unico que el precio es similar al de algunas perfumerias por lo demas lo recomiendo
1,llevo dos dias utilizandolacon una dosis tengo para toda la cara buena textura y un precio superen el corte ingles costaba 8 mas
1,es una crema perfecta
1,envio rapido buena relacion calidadprecio
1,no se si ayuda en algo pero me gusta hasta ahora la textura es rica se absorbe rapidamente huele muy bien lo malo es que no trae mucha informacion sobre sus beneficios asi que no se para que vale pero lo que si es seguro es que seguire comprando toda la linea
1,es la segunda vez que lo compro me encanta este producto deja la piel muy bien
1,mejor de lo esperado de echo se equivocaron en el envio porque no es lo que pedi pero decidi no cambiarlo para probar y me gusto tanto que repetire
0,deja bolas no se absorbe te quedas con sensacion de no estar hidratada pero con bolas pensaba que era por el serum pero cambie de marca y no es la crema parece untuosa pero luego te deja la piel seca y por la noche da gusto sentir la piel con crema no la tirantez que deja es como una hidratante ligerisima de dia para las que no quieren brillos o sensacion grasa pero da igual de dia que de noche te deja bolas no absorbe horrible ah para hacerte un peeling de esos como gomosos ayuda con que frotes un poco la piel va saliendo la bolita exfoliante ni una mas
1,buen descuento para un producto conocido
1,me encanta literalmente me encanta deja la piel super suave e hidratada y ademas le proporciona una elasticidad increible tengo la piel con tendencia acneica y la crema no es nada grasa la super recomiendo
0,la caja venia abierta sin ningun plastico protector supongo que sera la crema que he comprado pero tampoco lo se seguro ya que estaba abierta
1,muy buena
1,pues fue uno de los regalos a mi madre y la verdad que esta muy contenta asi que si quereis saber la opinion mejor preguntenle a ella 
1,no habia probado nunca este serum y la verdad es que es una maravilla te da mucha luminosidad en cuanto te lo aplicas se adhiere a tu piel dejandola suave y fina el precio es increible lo volvere a comprar
1,todo bien
1,es muy hidratante y te deja la piel con aspecto graso mas en verano
1,me parece un cosmetico con una relacion calidadprecio perfecta es la segunda vez y lo seguire utilizando porque me va fenomenal
1,buscaba un antimanchas
1,recibida en el tiempo indicado la crema se aplica bien aunque es pronto para ver los resultados de momento estoy satisfecha espero que funcione
1,hola ya recibi la crema d ecara y ya me la puse esta manana genial despues d elavarme la cara claro es genial muy buena ok
1,la crema me va bien e hidrata lo de las arrugas se vera un poco mas adelante aunque no tengo muchas
1,serum que funciona hasta ahora lo mejor que he probado el olor no es fuerte y es agradable se absorve fenomenal sin dejar sensacion de grasa en la piel la piel queda muy suave y se nota mejoria
1,la relacion calidadprecio
1,muy buen articulo
1,esta crema me parece d las mejores que he utilizado porque te deja la piel hidratada pero no grasa tiene un poco de color que te da un poco de luminosidad  y tambien muy importante lleva proteccion solar  seguire utilizandola a diario
1,a medida que te la aplicas vas viendo como tu cara rejuvenece al absorver rapidamente el producto buena compra a buen precio
1,textura buena pero quizas un pelo grasienta el olor es muy bueno por precio recomendable para que lo pruebes ok
1,bien similar a otras cremas de precio parecido aunque me gusta mas la regenerist de olay porque tiene una textura mas agradable 
1,llevo 2 semanas usando esta crema y tengo que decir que he notado resultados es muy agradable de llevar y la piel lo agradece enseguida supongo que cada una es un mundo pero yo en general estoy contenta
1,preciocalidad muy bueno claro que yo lo compre al 50 763 euros pero el producto es de buena calidad lo recomiendo cuando este en oferta
1,muy buena crema deja la piel suave y cunde mucho ya que solo utilizas un poquito
0,al abrir la primera capsula me di cuenta que el contenido era muy minimo pero lo peor me ha sucedido al abrir las dos capsulas de los dos dias siguientes porque me han llegado rotas totalmente desencantada tanto por la cantidad que trae como por las capsulas rotas
0,venia sin precintar y la caja abierta
0,siempre he usado la crema revitalift y me desaparecio una arruga que tenia en la frente comence a usar esta pensando que ademas me quitaria las manchas y la arruga ha vuelto a aparecer volvere a la basica porque no he notado ningun cambio al contrario
1,la segunda vez que se la compro a mi madre esta encantada ella nunca se habia puesto cremas y esta le ha encantado tanto que no se olvida ni un solo dia de ponersela
1,me gusta mucho su textura el efecto de hidratante es muy bueno comparado con otras cremas y no deja nada de grasa
1,me a gustado todo su hidratacion y sobre todo cierra los poros
1,muy eficaz gracias
0,esperaba efectos mejores no he notado nada
1,sin problema el producto cumple las expectativas y especificaciones que venian en la descripcion del mismo buen opcion de compra
1,como el resto de productos de loreal me va muy bien se extiende muy bien y deja mucha suavidad en el rostro
1,llevo relativamente poco tiempo usandola pero lo cierto es que noto mi piel mucho mejor imagino que con mas tiempo notare mas resultados me gusta mucho y sin duda repetire
1,en 24 horas recibidomuy buen envasey el producto muy buena presentacion lo he probado y mi piel tiene un hermoso tacto aterciopeladoque me ha encantadocontinuo comprando ya que mis unicos productos en mi rostro son siempre revitalifgracias
1,ya las habia usadoperfecto
1,mi piel queda tan suave como un bebe despues
1,se lo compre a mi madre y le encanto ahora no cambia de crema siempre compra esta
1,es un serum estupendo agradable olor fresco deja la piel fenomenalhe cambiado de marca por probar y me arrepiento de no haber comprado otra vez este mismo producto lo cual hare enseguida sin dudamuy recomendable
1,buena relacion calidad precio cumple las expectativas deja la piel muy bien mejora el aspecto de las arrugas se hacen menos profundas
1,lo que mas me gusta es que no deja la cara brillante ademas de esta crema utilizo otras y entre todas tengo muy bien la piel del rostro recomendable su compra
1,muy rapido
0,la crema en se esta bien lo que no me parece bien es que compre la crema de noche y de dia a algo mas de 14 y a algo mas de 15 cual es mi sorpresa que unos 10 dias despues la encuentro a poco mas de 8 y a poco mas de 9 la cara de tonta que se me queda no se puede describir me siento estafada
1,todo correcto
1,producto proveniente de polonia lo que me sorprendio al principio pero vino en muy buen estado bien embalado y es el producto correcto crema con aroma muy agradable tacto suave y muy eficaz
1,la crema llego muy rapido es muy facil de echar y funciona genial se nota la calidad de la crema buena relacion calidad precio
1,crema espectacular siempre se la compro a mi madre y esta encantada gran calidad a buen precio hacen muy buenas promociones
0,esta bien
1,cumple su funcion me noto la piel mucho mejor
1,es buena
0,el producto llego en plazo pero con el precinto de garantia rotolamentablepara no repetir
0,llevo un mes usando la cada dia y solo noto hidratacion
1,ya la habia probado antes genial
0,pasa desapercibido
1,lo que mas me gusta es qie al tener la piel ipoalergenica no me salengranos ni sequedad ni grasa
1,yo la uso hace mucho es agradable huele bien y si que es eficaz para su precio es mucho mejor que otras mas caras
1,me encanta sensacion de hidratacion y suavidad
1,llego en buen estado
0,producto manipulado aunque con precinto este abierto la crema por los bordes al abrir reseca una verguenza 
1,buena relacion calidad precio
0,no es la crema original es una estafa
1,la crema es muy buena
1,muy ligera y he notado que me nutre sin engrasar tengo la piel muxta y me ha gustado mucho el resultado
0,nada mas abrir el paquete ha sido una autentica decepcion todos los botes venian sin envoltura de plastico y precinto de seguridad abierto podria ser el contenido de l oreal o del mercadona no volvere a comprar aqui
0,todos conocemos el estatus de esta crema sus resultados y opiniones generales la situan entre las mejores del mercado por su calidad precio en este caso la adquiri en promocion por amazon mi madre esta muy contenta de la crema y de sus resultados
0,si lo que quieres es ir a una discoteca y brillar como una de las bolas que lucen en el techo no dudes en comprarla
0,de textura agradable y muy rapida absorcion esta bien para combinar con otras cremas un poco mejores o definitivamente mejores su precio hace que sea atractiva e hidrata adecuadamente como antiarrugas es poco efectiva pero repito que es correcta si alternas un tarro de revitalift con otras cremas mejores
1,buen producto
1,buen crema absorbe muy bien y deja la piel suave
1,lo estoy usando a diario de momento la piel sin ningun problema y ya se empiezan a notar los resultados producto recomendable
1,estas cremas estan geniales las compramos recomendadas por otra persona pensando que serian las cremas de siempre se nota y bastante su efecto por lo que son mas que recomendables
1,he notado mejoria con solo un bote me gusta es suave y de tacto agradable
0,no me gusta viene sin precintar la caja vieja
0,el producto venia abierto lo compare con otra crema comprada en el supermercado y venia la mitad de la cantidad la consistencia de la crema era diferente y tenia un olor diferente a la crema q uso siempre venia sin el envoltorio exterior de film transparente y el precinto de la tapa estaba roto
1,la uso en la noche
0,es para mayores de 40 y no lo pone por lo demas bien
0,no absorbe nada se queda la cara untuosa
1,tengo 46 anosme cambio el rostro en tres dias en las lineas de expresion de los ojos y frenteme encanta ahora me comprare la de noche
0,de textura agradable y muy rapida absorcion esta bien para combinar con otras cremas un poco mejores o definitivamente mejores su precio hace que sea atractiva e hidrata bastante como nutritiva nocturna repito que es correcta si alternas un tarro de revitalift con otros mejores
1,excelente calidad precio
1,se aplica muy bien a la piel y se absorbe rapido
1,muy contento muy buena textura y se absorbe rapido  tiene un olor muy agradable casi neutro  tacto muy sedoso 
0,es muy buena
1,todo perfecto
1,bien algo grasa
0,no me ha gustado como llego el producto la caja venia algo deformada y sin precinto plastico por fuera es decir como si ya se hubiese abierto y utilizado el producto
1,buena se notan los resultados pronto nunca la habia usado pero la volvere a comprar
0,me entregan una crema usada y ahora no puedo devolver la que me reemplazaron no me gusta nada madeja la cara llena de crema es ligera la aplicacion pero se queda sin absorcion
1,hidrata y deja la piel suave
1,es una crema excelente no queda la piel grasa y la deja super hidratada la seguire usando
1,estupenda vale para prevenir no para quitar las arrugas deja un rostro con luz y una hidratacion moderada yo que tengo la cara mixta no me despierto grasienta
0,da alergia a los ojos y no hace nada
1,me acaba de llegar a ver que tal va huele bien y es fluida no queda nada grasa
1,me deja la piel muy suave
1,buen serum me lo hecho por las mananas y luego la crema se nota mi piel esta genial
1,me gusta lo he usado mas veces
0,creo que la crema no es la autentica note inicialmente que la tapa era diferente mas mate  la de la izquierda es la comprada en amazon la de la derecha es la misma crema pero comprada en otra tienda pero pense que era otro lote y ya despues de usarla una noche estoy convencido de que no es la misma crema es una mascarilla que deja una pelicula que se descama es muy desagradable el bote anterior no dejaba ningun residuo
0,es una crema muy economica y cumple bien la funcion de hidratar no se si sera efectiva para las arrugas porque no llevo tanto tiempo probandola pero la piel me la noto hidratada asi que no tengo queja el pedido genial me llego al dia siguiente
0,buena crema
1,buena calidad precio
1,me encanta es lo que queria
0,la caja exterior estaba abierta la caja de la crema estaba abierta y el precinto de la crema estaba abierto encima no me deja devolverlo
1,es muy hidratante
1,deja la piel perfecta
1,me encanta este serum se absorve rapido deja la piel tersa y suave y ademas protege del sol olor fabuloso
1,buenos productos a buen precio
1,perfecto
0,no me noto nada la uso 2 veces al dia desde hace 1 mes y sigo exactamente como al principio aparte el color de la pintura roja del bote se esta desprendiendo en la tapa no se que pensar me da que es una imitacion
0,despues de lo quw me havian hablado del peoducto me lleve una desilusion al probarlo
0,viene sin precintar y me hace dudar de su calidad
1,su precio son sobre 1519 euros la oferta que he cogido es muy buena no llegaba a 8 eu bote la crema es muy suave y efectiva y se reabsorve facilmente en la piel
0,horrible me ha llegado roto sin precinto de ningun tipo y armazon dice que no se puede devolver ni brillo ni aroma muy cabreada
1,fantastica crema de dia absorcion muy buena apta para usar en verano factor 30
1,muy buena sensacion de hidratacion facil de aplicar y como siempre con la garantia de ser de una gran marca a un muy buen precio
1,fue un regalo a mi madre y le ha encantado dice que se encuentra la piel mucho mejor
0,se hace queda manchas en la cara  y ha venido usado y se hace pelotillas esta caducado y no se hacen cargo 
1,me ha gustado su textura y lo rapido que se seca deja la piel muy suave
1,esta bien aunque me gustaria que tuviesen otros tamanos con mas cantidad esta se nos acaba enseguida
0,este producto me ha llegado como nunca sin el envoltorio de plastico que te da a entender que no esta manipulado la caja en unas condiciones que no me ha gustado es la primera vez que me pasa estono se porque ha llegado asi no me ha gustado
0,la verdad que la compre en verano y pienso que no esta bien  me gusta esta marca y nunca me habia pasado  esta vez al rato de darmela me noto como arenilla en la cara y al restregar sale la crema como pielecillas me a pasado alguna vez con una crema de las que se van quedando al final del armario y era porque estaba caducada
0,la caja desastrosa sin precintar sin la tapa interior y da la impresion que se ha rellenado el tarro
1,un poco grasa
1,fantastica relacion calidad precio nada grado se absorbe rapido y deja la piel suave y tersa
1,muy bueno producto
1,excelente crema y a muy buen precio la textura es muy agradable apenas empece a usarla pero pienso que tendra muy buenos resultados
0,pues me parecia muy agradable el aroma y tambien la textura pero al rsto de ponermela se forman pielecitas y si pasas la mano se hace comoun peeling no me gusta nada esta sensacion estoy descontenta con el resultado
1,buena crema
0,mi piel no lo absorbe bien  en principio si pero pasado un tiempo se hace como una pelicula que al frotarme la cara se hace bolas para mi una decepcion no se si a alguien mas le ocurrira esto
1,fenomenal la recomiendo
1,de momento sin quejas  sen nota la aplicacion  un efecto bonito y esta muy bien de precio  se ahora un monton
1,por un modico precio atenua arrugada y reafirma la piel del rostro
1,ultimamente uso esta crema tanto de dia y de noche y noto ya buenos resultados
0,la caja viene deformada y sin plastico de precinto quien m garantiza q no ha sido manipulada
1,buena crema de cara aguanta todo el dia y se nota que la piel queda hidratada en todo momento la recomiendo
1,perfecto llego en un buen plazo de tiempo y se ajusta a lo especificado en la web
1,me encanto hidrata huele muy bien y da un efecto muy agradable
1,desde que la compre la uso todos los dias y noto la diferencia la piel esta mas lisas y las pequenas arrugas han desparecido
1,ya usaba esta crema esta vez la compre por amazon porque me salia mejor de precio me gusta porque no es una crema espesa y deja la piel suave
0,la caja ha llegado totalmente rota y la crema ha pasado mucho calor no creo volver a pedirla
0,creo que es un buen producto todavia lo estoy probando de momento me gusta esperare unos dias mas a ver que tal 
0,buenos dias mi opinion la crema la tapa de la crema no cierra bien y fui a guardarla y se me cayo toda osea una porqueria de compra no vuelvo a comprar este tipo de articulos x aqui experiencia fatal he perdido el dinero osea la compra me ha salido cara a la proxima compro en tienda que puedo comprobar todo bien
1,no es nada grasienta la piel queda con aspecto sano y liso enseguida se notan sus efectos
1,la llevo usando hace algun tiempo y me gusta mucho como casi todos los productos de loreal elmproducto llego en perfecto estado y en su tiempo estimado
0,la verdad es que ya conocia el producto no esta mal pero no es ningun unguento milagroso se puede recomendar como buena hidratacion
1,me encanta su textura y aromame deja la piel muy bien repetire sin lugar a dudasestoy muy contenta muy recomendable
0,las cajas vienen sin precinto cuando las compras vienen precintadas con un plastico que hay que romper estas no
1,es una crema muy suave que ademas te mantiene fresco todo el dia
1,me gusta este tipo de crema ademas tiene proteccion para el sol y por eso es practica aplicar y listo
1,me encanta hidrata mucho y tengo la piel mas luminosa
1,y ademas de gustarme venia muy bien embalada un acierto el haberla comprado repetire es buena estoy contenta con mi compra
0,este es el segundo tarro de crema reemplazadole falta el film transparente y la tapa blanca que hay al desenroscar el tarro la caja muy deteriorada y con una etiqueta como de una devolucionel tarro muy pringoso y con huellasno entiendo que por 2 veces ocurra estono es lo normalme han dicho que mandara fotos y me daran solucion  no lo dudo pero no deben de ocurrir estas cosas
1,bueno
0,viene con la caja abierta y sin precintono se si a sido abierta antes 
1,me ha gustado es justo lo que yo queria
0,el producto no lo he probado aun pero la caja y la tapadera de la caja vienen rota
1,me encanta esta crema es genial y super efectiva en todos los aspectos
1,me ha gustado mucho te deja la piel muy suave
1,llevo usando esta crema bastante tiempo y estoy muy satisfecha con los resultados su textura olor y absorcion son el punto
1,en calidad precio posiblemente la mejor crema del mercado nada grasa y se absorbe a la perfeccion una gran eleccion que seguire comprando con toda seguridad
1,se nota mucho los resultados asi q buena compra quiza un poco cara para la cantidad pero estas cremas es lo q tiene
0,no la devuelvo porque tire la caja me hace muchas pelotillas al untarla y me extrano porque no llego precintada muy mala la verdad no tireis el dinero
1,es una crema que matiza las pieles grasas y va apagando las arrugas aparecidas por el paso del tiempo buena relacion calidad precio
0,es una crema buena en calidad y precio como siempre hay que ser constantes con el uso y utilizarla todas las noches
1,la verdad es que llevo pocos dias probandola pero me he notado el rostro mucho mas brillante y con una luminosidad que rejuvenece lo recomiendo sin dudar
0,el embalaje iba abierto y la caja de la crema sin precintar un dedastre y quien es el culpable
1,el dermatologo no me lo recomienda para mi piel tengo una piel muy delicada y me ha recomendado una de farmacia
0,me ha mosqueado que venga sin precinto sera la crema que he comprado la textura es distinta a la anterior que compre espero no tener problemas medicos en la piel
0,esta bien para el precio que tiene no se puede pedir mas si tu piel es demasiado seca no te la recomiendo
0,se pidio el modelo laser y se mando el filler por si esto fuera poco la crema venia sin precinto y con la caja exterior abollada sin duda una pesima presentacion para un producto cosmetico
1,no es muy cara
1,la crema funciona de maravilla me siento la piel hidratada y mas radiante la proxima vez que la vea en rebaja cogere algunas para regalar son perfecto para ello
0,producto bueno caja del producto toda reventada en la entrega del producto tengo un cabreo voy a desconectar la suscripcion viendo el desastre por que es para regalar a mis clientas
0,producto bueno caja del producto toda reventada en la entrega del producto tengo un cabreo voy a desconectar la suscripcion viendo el desastre por que es para regalar a mis clientas
0,me ha decepcionado es como cualquier otra crema incluidas las de marca blanca de los supermercados no volvere a comprarla
0,no tengo claro que sean las originaleslas he comparado con las que tengo en casa y la calidad densidad etc parece distinta
1,buen y
0,no viene con plastico alrededor como deberia de venir no da seguridad cuando viene solo con el carton si si plastico mi madre la utilizo antes de que yo pudiera ver que no traia plastico sino la hubiera devuelto
0,producto sin plastificar no se si esta estrenado o si es original estoy decepcionada
1,buenisima crema muy recomendable no grasa y protectora precio adecuado
0,lo he devuelto venia desprecintado y con signos de uso
1,estoy encantada suavizo las lineas de mi rostro y mi piel se ve muy rejuvenecida la recomiendo ya que tengo 68 anos y el resultado es increible
0,la compre para mi mujer y como desde que la gasta le empezaron a salir granitos la dejo de utilizar aparte tiene una textura muy ligera y la recomendaria mas para verano
1,las cremas loreal a mi me gustan llevo anos comprandolas aunque esta no la he probado aun pero me fio de la marca
1,deja la liel superi suave despues de los 40 anos despues de probar varias es la que mas me ha gustado
1,me gusta mucho una textura muy agradable la piel lo agradece las arrugas disminuyen es el segundo que compro y muy contenta
1,la cogi en rebaja y me va de maravilla me siento la piel super hidratada y revitalizada la vigilare de nuevo y comprare mas para regalar
1,cada dia estoy mas viejoven
1,buena cremabuena olor y no queda la cara pringosa
0,mas grasosa de lo que ella esperaba la hidratacion dura un poco no note ninguna mejora sobre el uso
1,mas barato que en la tienda
1,textura y olor agradable deja la piel hidratada
1,es increible poder acceder a esta crema por este precio gracias
1,llego dentro del tiempo indicado y todo correcto
1,todo perfecto
1,esta crema le perfecta a mi pielmuy contenta con ella
1,perfecto para mi y soy mucho contento une muy buena crema por un precio barato ideal por mi cara gracia
0,parecen usadas golpeadas sello de seguridad roto y las cajas sin estar selladas como toda crema nueva compre la mascarilla de arcilla y si estaba perfecta
0,he probado casi todas de loreal esta es una mas tambien es verdad que comparada conla basica es algo mejor pero no demasiado hidratacion en la piel no es muy larga a las pocas horas es como si no hubiese llevado nada demasiado ligera para mi gusto color basico perfume normal por este precio prefiero otras
0,llego sin precintar y en el bote faltaba cantidad de producto
0,es un producto que en su momento descarte y me lo siguen mandando por favor dejen de hacerlo  o mejor dicho nodeseo recibirlo mas muchas gracias
0,las condiciones en las que te la traen es vergonzosano puedo opinar respecto a su calidad del productomuy mala calidad de embalaje y de fiabilidad para mi como clienta
0,quema mucho la piel tengo piel mixta morena no es una piel delicada y esto me abrasa la cara no se para que sirve una crema tan cara es como echarse sal textura nada agradable casi liquida parece que no te pones nada en la piel
1,perfecto el resultado se aprecia en pocos dias perfectamente embalado puntualrapido ningun problema y el precio extraordinario estoy muy contenta con la compra recomendable al 100
0,confio en los productos loreal pero esta vez no estoy contenta con esta crema porque no es grasa es grasisima y he tenido q dejar de usarla definitivamente no apta para pieles grasas dinero tirado
1,la recomiendo un monton se nota mejoria en la cara un poco mas cara que las de marca blanca pero vale la pena gastar un poco mas
1,lo pedi para regalo y genial
1,mas barata que en tiendas y crema muy eficaz
0,viene sin el precinto me da la sensacion de que ha sido abierto la caja viene incluso un poco rota
0,llego sin el precinto de celofan no hay garantia de que no estuviera empezada y hubiera sido devuelta mal servicio y sin explicacion
1,muy cremoso y se absorbe rapido
0,me llego sin precinto abierta y medio gastada la verdad es q un producto q es de cuidado personal abierto no da muy buena impresion
1,producto perfecto envio muy rapido
1,calidad precio notable repetire
0,no me ha gustado pero no porque el producto sea malo supongo que es por mi tipo de piel es mixta pero me resulta muy pegajoso y no termina de absorber el producto aunque me ponga poco
0,lo he tenido que dejar de usar mala calidad
0,una crema mas del mercado
0,esta crema venia sin precintar  con los bordes rozados y abierta no por sanidad
1,esta bien calidad precio
0,llevo usando esta marca muchos anos y me temo que esta crema no contiene el producto original me esta produciendo sarpullido y mucho picor en la cara no aconsejo comprarla por aqui
0,tiene olor horrible a rancio a viejo no lo compreis
1,buena calidad
1,buen producto y calidad precio excelentes
1,estupendo y a un buen precio
0,estoy muy molesta primero hago una reclamacion ya que perdieron mi paquete vuelvo a solicitar el mismo pedido y me llega la crema con la tapa semi abierta sin el sello protector y me parece que esta usada ya que falta crema tambien la caja tiene un color rojo como una mancha al final adjunto foto
1,lo compre para regalar un producto excelente como todos los de loreal y en este caso con un precio excelente
0,es crema de dia loreal revitalift laser y no laser x3 como aparece en la imagen
1,lo compre para regalar un producto excelente como todos los de loreal y en este caso con un precio excelente
1,deja la piel como mas joven y disimula pequenas imperfecciones como poros abiertos la utilizo a diario deja la cara con textura suave y tersa
1,este producto lo elegi para mi porque ya lo utilizaba es muy buen cosmetico facial y ya lo he recomendado a mis mejores amigas
1,sin palabras estoy encantada
1,todo perfecto recomendable
0,no he notado ni hidratacion ni ningun efecto al dia siguiente la piel no esta bien
0,pense que era otra cosa no paran de anunciarla y no me gusto demasiado mucha grasa
0,la caja de la crema estaba toda rota y se abria si precinto la crema esta liquida
1,buena relacion calidad precio y efectiva
0,ha llegado desprecintado no me ofrece confianza
1,me encanta lo recomiendo
1,calidad precio perfecto
1,excelente calidad relacion precio me ha parecido muy bueno y ademas tiene un precio muy aceptable sin duda repetire en el futuro
0,la crema en si no esta mal para el precio pero no es mas que una crema hidratante esperaba algo mas
1,muy buen crema
0,hasta que no pase un tiempo nopuedo opinar
1,me encanta lo compraba siempre desde que lo descubri al precio que esta aqui lo compro siempre aqui da un resultado genial
1,buen producto precio inmejorable con la oferta de blak friday lo compre para regalo junto con la crema de dia quede estupendamente
1,buen producto en calidad y precio
1,de momento la crema va bastante bien la sensacion es no grasa y te mantiene hidratada la piel todo el dia
1,segun lo esperado muy buen precio
1,lo compre para mi madre pero para equvocarme le consulte a ella y me dijo que era una buena crema de calidad
1,es lloreal lo mejor no hay nada que decir que no sea decir que es bueno os lo recomiendo mi mujer lo utiliza ya hace tiempo y funciona
1,mi suegra esta feliz
0,producto con cajas rotos y sin precinto no sabes si estan usadas
1,me encanta
1,lo utilizo cada dia
1,buena
0,viene sin celofan y parece manipuladano me parece correcto
1,muy buena crema
0,el producto me llego con el precinto abierto y la caja abierta y estropeada
1,muy agradable
1,llevo poco tiempo usandola pero es muy agradable cuando te la pones me gusta amazon porque son rapidos muchas gracias
1,como crema de dia es estupenda al igual que la de noche llevo usandola tiempo y muy satisfecha su precio muy asequible la recomiendo
1,perfecta
1,como esperaba
1,buenisimo
0,no me ha gustado nada demasiado untuosa y grasa para mi piel al segundo dia de uso me dio alergia y tuve que tirarla
1,estoy muy satisfecha con este serum se nota el efecto y tiene una textura muy agradable recomiendo sinceramente el producto
1,lo recomiendo
0,llego sin precinto habia sido usada para probar causa desconfianza
1,la he probado y bueno es una crema de buena marca como otra cualquiera de otra buena marca nada especial
1,producto recomendable
1,bastante basica
1,realice el pedido a las 2200 horas y lo recibi en mi domicilio al dia siguiente a las 1200 de la manana
1,perfecto
1,llevo usandola hace tiempo mi cutis es seco y me va muy bien y de precio estupenda la recomiendo totalmente
1,todo perfecto
0,despues de un tiempo usandola no noto nada poca hidratacion y ademas para las que tienen la piel rosacea no la recomiendo porque agrava el problema y escuece
0,mala se queda como un pegote y nada q desaparezca luego parece q te estes despellejando nada q no es buena
0,la crema esta pasada segun te la das en la cara se hacen bolas y hay que quitarla inmediatamente muy decepcionada
0,tras aplicar la crema en el rostro esta se hacia virutilla y es una sensacion incomoda como para lavarte la cara de nuevo y utilizar otra crema
0,no lo compres viene abierto sin ningun tipo de embalaje he picado dos veces
0,me toco un poco el ojo con esta crema y tuve que ir a urgencias
0,inocua por el precio que tiene y el efecto que he notado hay muchas otras mejores opciones
0,no estoy satisfecha con esta compra porque no recibi exactamente la crema que yo habia encargado todo estaba en otro idiom y no pude comprobar si era esa o no
0,tiene parabenos
0,no bueno
0,no cumple las expectativas increible que lo comparen con un tratamiento laser lo unico que hace es rellenar las arrugas por un breve periodo de tiempo ya que la textura es como silicona
0,llevo usando la 4 meses y no veo ningun resultadoes mas tengo ahora manchas que no tenia antes de usarla yo no la recomiendo
0,no sirve para nada es pastosa y nada de lo que anuncian a mi no me hace nada no la quiero
1,la crema que necesitaba perfecto
